"occurences","queries","contexts.name","contexts.count"
1,"i just need a fax or email ","waiting-support-phone-number",1
1,"i just need a fax or email ","waiting-support-employer",1
1,"i just need a fax or email ","waiting-support-parent-paying",1
1,"i just need a fax or email ","waiting-support-parent-receiving",1
1,"i just need a fax or email ","waiting-open-csc-location-services",1
1,"i just need a fax or email ","waiting-support-no-phone-number",1
1,"i just need a fax or email ","waiting-open-csc-full-services",1
1,"i just need a fax or email ","waiting-open-csc-employer-payments",1
